mname,mnameng,mno,mdate,mnation,mtype,mgen,mstat,mdir,
덫: 치명적인 유혹,Trap,20113634,2014,한국,장편,스릴러(2),개봉,봉만대,4
족구왕,The King of Jokgu,20132799,2013,한국,장편,코미디(2),개봉,우문기,4
레버넌트: 죽음에서 돌아온 자,The Revenant,20154001,2015,미국,장편,어드벤처(1),개봉,알레한드로 곤잘레스 이냐,4
암살,Assassination,20148851,2015,한국,장편,액션(1),개봉,최동훈,4
펄프 픽션,Pulp Fiction,19940315,1994,미국,장편,범죄(1),개봉,쿠엔틴 타란티노,4
마션,The Martian,20151383,2015,미국,장편,액션(2),개봉,리들리 스콧,4
007 카지노 로얄,Casino Royale,20060358,2006,미국,장편,액션,개봉,마틴 캠벨,4
인사이드 아웃,Inside Out,20151225,2014,미국,장편,애니메이션(1),개봉,피트 닥터,4
스물,Twenty,20148845,2014,한국,장편,코미디(1),개봉,이병헌,4
어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,20148493,2014,미국,장편,액션(3),개봉,조스 웨던,4
용서받지 못한 자,The Unforgiven,20050303,2005,한국,장편,드라마,개봉,윤종빈,4
위플래쉬,Whiplash,20145141,2014,미국,장편,드라마,개봉,데이미언 셔젤,4
이미테이션 게임,The Imitation Game,20141962,2014,영국,장편,드라마(1),개봉,모튼 틸덤,4
양들의 침묵,The Silence Of The Lambs,19910237,1991,미국,장편,스릴러(2),개봉,조나단 드미,4
복수는 나의 것,Sympathy for Mr. Vengeance,20020106,2002,한국,장편,범죄(1),개봉,박찬욱,4
스크림,Scream,19990113,1996,미국,장편,공포(호러)(2),개봉,웨스 크레이븐,4
크래쉬,Crash,20060073,2004,미국,장편,드라마(2),개봉,폴 해기스,4
국제시장,Ode to My Father,20137048,2014,한국,장편,드라마,개봉,윤제균,4
알라딘,Aladdin,19920384,1992,미국,장편,애니메이션(1),개봉,데이빗 드웨이티스,4
빅 히어로,Big Hero 6,20149951,2014,미국,장편,애니메이션(2),개봉,돈 홀,4
